0, 1, 2
0, 2, 8
0, 3, 6
0, 4, 7
0, 5, 1
0, 6, 5
0, 7, 1
0, 8, 1
0, 9, 8
0, 10, 7
0, 11, 1
0, 12, 5
0, 13, 2
0, 14, 3
0, 15, 2
0, 16, 9
0, 17, 10
0, 18, 3
0, 19, 10
0, 20, 8
0, 21, 8
0, 22, 2
0, 23, 7
0, 24, 5
0, 25, 3
0, 26, 6
0, 27, 2
0, 28, 8
0, 29, 10
0, 30, 5
0, 31, 10
0, 32, 2
0, 33, 7
0, 34, 5
0, 35, 10
0, 36, 4
0, 37, 8
0, 38, 10
0, 39, 6
0, 40, 3
0, 41, 7
0, 42, 5
0, 43, 7
0, 44, 6
0, 45, 9
0, 46, 2
0, 47, 8
0, 48, 8
0, 49, 1
0, 50, 3
0, 51, 1
0, 52, 1
0, 53, 8
0, 54, 5
0, 55, 2
0, 56, 6
0, 57, 3
0, 58, 1
0, 59, 4
0, 60, 8
0, 61, 9
0, 62, 1
0, 63, 9
0, 64, 3
0, 65, 6
0, 66, 7
0, 67, 2
0, 68, 6
0, 69, 9
0, 70, 2
0, 71, 2
0, 72, 8
0, 73, 9
0, 74, 6
0, 75, 5
0, 76, 3
0, 77, 4
0, 78, 6
0, 79, 7
0, 80, 4
0, 81, 6
0, 82, 7
0, 83, 8
0, 84, 10
0, 85, 3
0, 86, 8
0, 87, 3
0, 88, 3
0, 89, 10
0, 90, 7
0, 91, 6
0, 92, 7
0, 93, 8
0, 94, 3
0, 95, 3
0, 96, 8
0, 97, 10
0, 98, 7
0, 99, 5
1, 2, 8
1, 3, 1
1, 4, 10
1, 5, 4
1, 6, 6
1, 7, 6
1, 8, 10
1, 9, 8
1, 10, 9
1, 11, 7
1, 12, 8
1, 13, 7
1, 14, 6
1, 15, 2
1, 16, 1
1, 17, 5
1, 18, 1
1, 19, 6
1, 20, 1
1, 21, 1
1, 22, 8
1, 23, 8
1, 24, 9
1, 25, 6
1, 26, 5
1, 27, 8
1, 28, 7
1, 29, 2
1, 30, 8
1, 31, 8
1, 32, 3
1, 33, 1
1, 34, 5
1, 35, 6
1, 36, 2
1, 37, 8
1, 38, 7
1, 39, 9
1, 40, 3
1, 41, 7
1, 42, 8
1, 43, 2
1, 44, 7
1, 45, 10
1, 46, 8
1, 47, 5
1, 48, 1
1, 49, 5
1, 50, 10
1, 51, 6
1, 52, 5
1, 53, 9
1, 54, 8
1, 55, 3
1, 56, 2
1, 57, 4
1, 58, 10
1, 59, 7
1, 60, 3
1, 61, 2
1, 62, 2
1, 63, 8
1, 64, 7
1, 65, 2
1, 66, 10
1, 67, 8
1, 68, 10
1, 69, 1
1, 70, 10
1, 71, 10
1, 72, 3
1, 73, 9
1, 74, 4
1, 75, 10
1, 76, 2
1, 77, 1
1, 78, 9
1, 79, 7
1, 80, 3
1, 81, 7
1, 82, 3
1, 83, 5
1, 84, 4
1, 85, 9
1, 86, 5
1, 87, 10
1, 88, 9
1, 89, 5
1, 90, 8
1, 91, 10
1, 92, 2
1, 93, 6
1, 94, 10
1, 95, 9
1, 96, 9
1, 97, 7
1, 98, 10
1, 99, 2
2, 3, 3
2, 4, 10
2, 5, 4
2, 6, 8
